script_id,imdb_id,title,year,gross
1534,tt1022603,(500) Days of Summer,2009,37
1512,tt0147800,10 Things I Hate About You,1999,65
1514,tt0417385,12 and Holding,2005,
1517,tt2024544,12 Years a Slave,2013,60
1520,tt1542344,127 Hours,2010,20
6537,tt0450385,1408,2007,91
3778,tt0103594,1492: Conquest of Paradise,1992,15
623,tt0179626,15 Minutes,2001,37
1525,tt0974661,17 Again,2009,74
6030,tt1272878,2 Guns,2013,80
625,tt0062622,2001: A Space Odyssey,1968,376
1509,tt1190080,2012,2009,192
8543,tt0478087,21,2008,98
7834,tt2294449,22 Jump Street,2014,204
630,tt0307901,25th Hour,2002,19
3784,tt0191754,28 Days,2000,59
6360,tt0289043,28 Days Later...,2002,67
7597,tt0463854,28 Weeks Later,2007,36
8209,tt2172934,3 Days to Kill,2014,32
1408,tt0094137,3 Men and a Baby,1987,373
7678,tt0075612,3 Women,1977,
8671,tt0389722,30 Days of Night,2007,50
1530,tt1622547,30 Minutes or Less,2011,40
7770,tt0416449,300,2006,280
3789,tt0381849,3:10 to Yuma,2007,67
1502,tt0453562,42,2013,101
1532,tt0083511,48 Hrs.,1982,224
3770,tt1306980,50/50,2011,38
1537,tt0134273,8MM,1999,62
5820,tt0268978,A Beautiful Mind,2001,262
6574,tt0120633,A Civil Action,1998,105
4022,tt0066921,A Clockwork Orange,1971,
2190,tt0097243,A Dry White Season,1989,8
1538,tt0104257,A Few Good Men,1992,295
8880,tt0401445,A Good Year,2006,9
8007,tt0399146,A History of Violence,2005,42
7931,tt0266465,A Man Apart,2003,37
5368,tt2937898,A Most Violent Year,2014,6
8057,tt1972571,A Most Wanted Man,2014,18
5342,tt0120770,A Night at the Roxbury,1998,56
1196,tt0087800,A Nightmare on Elm Street,1984,68
6161,tt0089686,A Nightmare on Elm Street 2: Freddy's Revenge,1985,73
4706,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987,99
4702,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988,104
4703,tt0097981,A Nightmare on Elm Street 5: The Dream Child,1989,48
7251,tt0971209,A Perfect Getaway,2009,17
1222,tt0107808,A Perfect World,1993,65
4892,tt0091867,A Room with a View,1985,51
6822,tt0405296,A Scanner Darkly,2006,7
633,tt1019452,A Serious Man,2009,10
4961,tt0120324,A Simple Plan,1998,30
4963,tt1315981,A Single Man,2009,10
1455,tt0281358,A Walk to Remember,2002,61
8682,tt0212720,A.I. Artificial Intelligence,2001,120
6034,tt1826590,About Last Night,2014,51
642,tt0094602,Above the Law,1988,40
1545,tt0118548,Absolute Power,1997,94
1550,tt0109040,Ace Ventura: Pet Detective,1994,150
6407,tt0268126,Adaptation.,2002,33
3805,tt1091722,Adventureland,2009,18
1559,tt0118564,Affliction,1997,11
1564,tt0088683,Agnes of God,1985,
